Date,Open,High,Low,Close,Adj Close,Volume
2023-08-03,3.509500,3.592500,3.505000,3.585500,3.585500,35372540
2023-08-04,3.604000,3.620000,3.570000,3.608500,3.608500,23142480
2023-08-07,3.585500,3.634500,3.560000,3.621000,3.621000,12039266
2023-08-08,3.575500,3.578500,3.461000,3.523000,3.523000,34504136
2023-08-09,3.593000,3.605500,3.535000,3.549500,3.549500,18394579
2023-08-10,3.574500,3.665500,3.568500,3.647500,3.647500,30943176
2023-08-11,3.639000,3.646500,3.582500,3.592500,3.592500,15252206
2023-08-14,3.609500,3.632000,3.580500,3.596500,3.596500,15050762
2023-08-15,3.599000,3.605500,3.540500,3.567000,3.567000,13039047
2023-08-16,3.553000,3.586500,3.541500,3.556500,3.556500,11267918
2023-08-17,3.550000,3.586000,3.538000,3.557000,3.557000,21767274
2023-08-18,3.533000,3.559000,3.509000,3.551500,3.551500,17990188
2023-08-21,3.551500,3.612000,3.548500,3.561000,3.561000,15213035
2023-08-22,3.595000,3.619000,3.571000,3.576500,3.576500,17274501
2023-08-23,3.572500,3.603000,3.525500,3.534000,3.534000,18015294
2023-08-24,3.572500,3.585000,3.523500,3.536000,3.536000,19636103
2023-08-25,3.544000,3.589000,3.530000,3.538000,3.538000,16246961
2023-08-28,3.569000,3.582500,3.553000,3.574500,3.574500,1939777
2023-08-29,3.642000,3.650000,3.606000,3.631500,3.631500,24326785
2023-08-30,3.650000,3.682500,3.625000,3.628500,3.628500,17713155
2023-08-31,3.631500,3.646000,3.593500,3.602000,3.602000,55210602
2023-09-01,3.606000,3.616000,3.519500,3.519500,3.519500,29668913
2023-09-04,3.541000,3.564000,3.501500,3.515000,3.515000,17339932
2023-09-05,3.503500,3.532000,3.469500,3.503000,3.503000,21313712
2023-09-06,3.466000,3.477500,3.387500,3.407000,3.407000,32754572
2023-09-07,3.392000,3.417500,3.352000,3.376000,3.376000,21694476
2023-09-08,3.388000,3.412500,3.332000,3.408000,3.408000,23264628
2023-09-11,3.438500,3.460000,3.395000,3.434000,3.434000,18335020
2023-09-12,3.446000,3.457500,3.423500,3.446000,3.446000,49304860
2023-09-13,3.439000,3.477000,3.425000,3.454000,3.454000,19141872
2023-09-14,3.450000,3.535000,3.422000,3.525500,3.525500,30199255
2023-09-15,3.550000,3.569500,3.467000,3.491500,3.491500,69443170
2023-09-18,3.480000,3.503000,3.425500,3.445500,3.445500,20251485
2023-09-19,3.432500,3.479000,3.432500,3.464000,3.464000,16094874
2023-09-20,3.490000,3.542000,3.463000,3.523000,3.523000,22134420
2023-09-21,3.490000,3.513000,3.451000,3.506500,3.506500,34697506
2023-09-22,3.487000,3.519500,3.464000,3.482000,3.482000,33356582
